Equipment_ID,Equipment_Type,Temperature_Avg(C),Humidity_Avg(%),Last_Maintenance_Days_Ago,Failure_Reason,Failure_Probability,Maintenance_Level_Required,Downtime_Hours
EQ-0343,Ventilator,25.34,46.36,217,Calibration Issue,0.993,High,1
EQ-0344,MRI Machine,48.83,56.78,3,Overheating,0.156,Low,42
EQ-0345,Ventilator,24.46,76.58,89,Mechanical Wear,0.988,Low,52
EQ-0346,Ventilator,32.44,34.44,103,Mechanical Wear,0.977,Medium,25
EQ-0347,Ventilator,22.56,27.29,118,Calibration Issue,0.794,High,54
EQ-0348,Blood Testing Device,49.91,31.85,132,Mechanical Wear,0.659,Low,67
EQ-0349,Blood Testing Device,35.07,73.22,311,Calibration Issue,0.578,Medium,6
EQ-0350,Ventilator,37.86,58.75,95,Overheating,0.866,Low,58
EQ-0351,Blood Testing Device,22.01,37.15,330,Overheating,0.289,Low,70
EQ-0352,CT Scanner,42.5,68.96,142,Calibration Issue,0.468,Medium,53
EQ-0353,CT Scanner,26.3,71.68,287,Overheating,0.619,Medium,66
EQ-0354,Blood Testing Device,46.94,70.79,27,Power Surge,0.411,Low,58
EQ-0355,Blood Testing Device,26.15,75.14,277,Power Surge,0.427,Low,2
EQ-0356,Ventilator,25.72,35.13,232,Overheating,0.33,Medium,22
EQ-0357,MRI Machine,21.1,65.3,16,Calibration Issue,0.564,Low,37
EQ-0358,Blood Testing Device,34.16,47.63,58,Calibration Issue,0.851,Low,20
EQ-0359,CT Scanner,36.95,70.52,89,Overheating,0.202,Medium,24
EQ-0360,Ventilator,21.97,63.71,198,Mechanical Wear,0.934,Low,65
EQ-0361,Blood Testing Device,43.27,66.59,361,Power Surge,0.689,Low,65
EQ-0362,CT Scanner,33.6,59.37,25,Mechanical Wear,0.823,High,1
EQ-0363,CT Scanner,35.73,30.65,24,Calibration Issue,0.556,Medium,3
EQ-0364,MRI Machine,33.22,52.7,300,Calibration Issue,0.78,High,46
EQ-0365,Ventilator,32.02,79.08,338,Mechanical Wear,0.016,High,55
EQ-0366,Ventilator,36.79,76.24,266,Overheating,0.818,High,64
EQ-0367,MRI Machine,24.66,22.59,180,Mechanical Wear,0.04,Low,45
EQ-0368,MRI Machine,25.46,29.89,359,Mechanical Wear,0.89,Low,26
EQ-0369,Ventilator,45.85,27.9,67,Power Surge,0.992,High,65
EQ-0370,Ventilator,48.38,63.56,350,Power Surge,0.294,High,24
EQ-0371,Blood Testing Device,31.2,69.07,320,Mechanical Wear,0.21,High,35
EQ-0372,Blood Testing Device,28.12,32.81,48,Mechanical Wear,0.765,Low,24
EQ-0373,MRI Machine,39.32,50.35,174,Calibration Issue,0.253,High,28
EQ-0374,Blood Testing Device,32.26,70.44,51,Power Surge,0.866,High,16
EQ-0375,CT Scanner,20.76,63.97,101,Power Surge,0.103,Medium,59
EQ-0376,Blood Testing Device,24.68,52.53,215,Calibration Issue,0.126,Medium,54
EQ-0377,Blood Testing Device,41.48,55.42,187,Overheating,0.979,Low,16
EQ-0378,CT Scanner,39.77,50.5,56,Power Surge,0.674,Medium,15
EQ-0379,MRI Machine,20.81,37.85,46,Power Surge,0.847,Medium,11
EQ-0380,CT Scanner,26.66,53.9,158,Overheating,0.324,Medium,65
EQ-0381,Blood Testing Device,26.93,61.33,173,Power Surge,0.676,Low,68
EQ-0382,MRI Machine,40.16,72.4,241,Power Surge,0.594,Medium,43
EQ-0383,Blood Testing Device,20.59,58.18,281,Overheating,0.603,Low,69
EQ-0384,CT Scanner,23.12,65.67,240,Overheating,0.683,High,13
EQ-0385,CT Scanner,44.0,29.6,4,Mechanical Wear,0.575,Medium,10
EQ-0386,Blood Testing Device,25.36,47.69,83,Calibration Issue,0.429,Low,41
EQ-0387,Ventilator,39.58,20.56,307,Calibration Issue,0.276,Medium,50
EQ-0388,Ventilator,27.15,34.8,360,Overheating,0.769,High,71
EQ-0389,CT Scanner,22.98,63.59,247,Overheating,0.226,Low,59
EQ-0390,CT Scanner,27.3,79.51,53,Power Surge,0.692,Low,39
EQ-0391,Ventilator,41.67,25.95,160,Mechanical Wear,0.233,Low,3
EQ-0392,Ventilator,45.67,44.09,225,Mechanical Wear,0.625,High,7
EQ-0393,Blood Testing Device,44.91,68.0,14,Overheating,0.747,High,49
EQ-0394,Blood Testing Device,31.92,32.24,223,Power Surge,0.219,High,26
EQ-0395,Ventilator,40.04,53.31,60,Power Surge,0.06,Low,33
EQ-0396,Blood Testing Device,26.15,63.98,121,Calibration Issue,0.131,High,48
EQ-0397,Blood Testing Device,28.79,56.96,276,Calibration Issue,0.606,Medium,2
EQ-0398,MRI Machine,46.89,31.28,45,Power Surge,0.849,High,71
EQ-0399,Blood Testing Device,20.39,41.32,293,Calibration Issue,0.045,Low,32
EQ-0400,CT Scanner,22.57,67.03,61,Overheating,0.734,Medium,4
EQ-0401,Blood Testing Device,26.24,53.25,85,Power Surge,0.341,High,20
EQ-0402,Blood Testing Device,20.8,20.31,209,Calibration Issue,0.479,Medium,36
EQ-0403,Ventilator,25.44,65.66,77,Mechanical Wear,0.929,Medium,32
EQ-0404,CT Scanner,37.49,22.12,201,Power Surge,0.332,Low,28
EQ-0405,Blood Testing Device,32.64,64.74,301,Power Surge,0.465,Medium,1
EQ-0406,Blood Testing Device,46.78,32.15,222,Mechanical Wear,0.014,Medium,60
EQ-0407,MRI Machine,44.52,77.48,221,Overheating,0.082,Low,56
EQ-0408,Blood Testing Device,30.25,42.08,2,Mechanical Wear,0.259,Low,35
EQ-0409,Blood Testing Device,27.78,39.62,5,Power Surge,0.028,Low,30
EQ-0410,MRI Machine,31.39,28.93,92,Overheating,0.631,Medium,54
EQ-0411,Ventilator,37.71,38.34,7,Calibration Issue,0.426,Medium,36
EQ-0412,Blood Testing Device,28.04,72.6,234,Calibration Issue,0.548,Medium,55
EQ-0413,MRI Machine,38.72,79.78,107,Calibration Issue,0.175,Low,58
EQ-0414,CT Scanner,32.28,42.1,160,Power Surge,0.296,High,65
EQ-0415,Ventilator,36.56,46.92,208,Mechanical Wear,0.664,Medium,69
EQ-0416,CT Scanner,33.08,63.32,239,Overheating,0.965,High,51
EQ-0417,CT Scanner,28.83,73.17,330,Calibration Issue,0.05,Low,22
EQ-0418,MRI Machine,48.45,55.58,332,Overheating,0.89,Medium,53
EQ-0419,Blood Testing Device,42.91,43.49,49,Power Surge,0.577,High,36
EQ-0420,MRI Machine,24.2,44.76,10,Calibration Issue,0.564,Medium,68
EQ-0421,MRI Machine,46.05,61.74,350,Power Surge,0.5,Medium,36
EQ-0422,MRI Machine,34.62,20.19,155,Mechanical Wear,0.069,Medium,52
EQ-0423,MRI Machine,46.84,57.18,69,Power Surge,0.09,High,53
EQ-0424,Ventilator,44.0,41.33,168,Power Surge,0.601,Low,50
EQ-0425,Blood Testing Device,32.76,67.65,271,Mechanical Wear,0.341,Medium,41
EQ-0426,CT Scanner,20.67,25.58,67,Overheating,0.917,Low,18
EQ-0427,CT Scanner,28.06,55.29,354,Mechanical Wear,0.407,Low,22
EQ-0428,Blood Testing Device,36.25,48.86,251,Mechanical Wear,0.143,High,66
EQ-0429,CT Scanner,39.0,58.54,47,Power Surge,0.715,High,21
EQ-0430,Blood Testing Device,27.74,23.89,183,Overheating,0.293,Low,44
EQ-0431,CT Scanner,24.18,54.8,319,Calibration Issue,0.525,Medium,47
EQ-0432,MRI Machine,45.05,53.69,186,Mechanical Wear,0.698,High,39
EQ-0433,CT Scanner,49.53,53.64,89,Overheating,0.9,Medium,29
EQ-0434,Blood Testing Device,35.77,56.21,331,Mechanical Wear,0.792,Medium,54
EQ-0435,Blood Testing Device,25.15,60.59,138,Mechanical Wear,0.676,Medium,17
EQ-0436,Blood Testing Device,28.17,68.3,356,Mechanical Wear,0.68,Low,60
EQ-0437,Blood Testing Device,20.55,36.19,88,Mechanical Wear,0.946,Medium,31
EQ-0438,Blood Testing Device,47.43,69.5,273,Power Surge,0.296,Low,49
EQ-0439,Ventilator,23.53,49.9,18,Overheating,0.001,Low,2
EQ-0440,Ventilator,37.3,24.62,310,Overheating,0.272,Medium,48
EQ-0441,CT Scanner,28.22,23.51,357,Overheating,0.218,Medium,14
EQ-0442,Blood Testing Device,36.63,40.05,153,Mechanical Wear,0.662,Medium,59
EQ-0443,CT Scanner,39.54,67.09,259,Power Surge,0.634,Medium,58
EQ-0444,Blood Testing Device,44.89,62.46,107,Mechanical Wear,0.593,Low,58
EQ-0445,Blood Testing Device,26.19,67.32,284,Mechanical Wear,0.016,Medium,51
EQ-0446,Ventilator,20.33,51.04,58,Overheating,0.729,Medium,2
EQ-0447,Ventilator,24.11,46.41,124,Mechanical Wear,0.324,Low,41
EQ-0448,MRI Machine,47.0,28.85,353,Calibration Issue,0.665,High,16
EQ-0449,Ventilator,46.22,39.69,272,Mechanical Wear,0.557,High,4
EQ-0450,MRI Machine,37.92,46.04,106,Calibration Issue,0.343,Low,12
EQ-0451,MRI Machine,38.02,25.32,298,Mechanical Wear,0.135,High,29
EQ-0452,MRI Machine,39.95,33.24,244,Power Surge,0.094,Low,7
EQ-0453,MRI Machine,25.26,55.89,335,Power Surge,0.832,Medium,14
EQ-0454,MRI Machine,47.43,64.14,246,Overheating,0.918,Medium,12
EQ-0455,CT Scanner,32.56,79.9,7,Mechanical Wear,0.65,High,5
EQ-0456,Ventilator,31.49,75.99,140,Calibration Issue,0.103,Medium,32
EQ-0457,MRI Machine,35.57,58.55,361,Calibration Issue,0.402,High,43
EQ-0458,Blood Testing Device,21.41,45.27,7,Mechanical Wear,0.729,High,69
EQ-0459,Ventilator,24.99,58.17,351,Calibration Issue,0.78,Medium,45
EQ-0460,Ventilator,42.14,67.14,93,Power Surge,0.118,Medium,9
EQ-0461,MRI Machine,22.48,27.1,320,Calibration Issue,0.0,High,49
EQ-0462,CT Scanner,38.09,44.59,38,Overheating,0.712,Medium,33
EQ-0463,MRI Machine,27.36,70.39,80,Power Surge,0.357,Low,18
EQ-0464,CT Scanner,31.68,43.03,186,Power Surge,0.254,Medium,9
EQ-0465,Blood Testing Device,28.66,54.31,83,Power Surge,0.013,Medium,62
EQ-0466,Ventilator,30.67,55.27,87,Mechanical Wear,0.54,Low,57
EQ-0467,Blood Testing Device,41.57,31.07,241,Mechanical Wear,0.851,Medium,29
EQ-0468,CT Scanner,28.91,41.73,341,Power Surge,0.958,Medium,25
EQ-0469,CT Scanner,36.99,40.07,92,Mechanical Wear,0.566,High,15
EQ-0470,Blood Testing Device,34.28,21.57,85,Calibration Issue,0.514,Medium,6
EQ-0471,CT Scanner,39.91,21.45,43,Mechanical Wear,0.085,Medium,42
EQ-0472,Blood Testing Device,48.1,69.9,136,Mechanical Wear,0.549,Low,29
EQ-0473,Ventilator,41.98,36.38,73,Power Surge,0.38,High,4
EQ-0474,Blood Testing Device,26.45,51.08,35,Overheating,0.607,High,57
EQ-0475,Ventilator,20.94,37.92,100,Overheating,0.389,High,49
EQ-0476,Blood Testing Device,27.87,76.44,155,Overheating,0.24,Medium,44
EQ-0477,CT Scanner,37.85,35.56,254,Calibration Issue,0.095,High,14
EQ-0478,Blood Testing Device,21.54,45.78,170,Mechanical Wear,0.315,Low,3
EQ-0479,CT Scanner,34.89,72.36,215,Overheating,0.097,High,62
EQ-0480,Blood Testing Device,37.91,70.52,169,Power Surge,0.177,Low,64
EQ-0481,Blood Testing Device,30.03,31.17,251,Overheating,0.987,High,45
EQ-0482,MRI Machine,43.13,68.16,359,Overheating,0.444,High,58
EQ-0483,CT Scanner,23.2,47.49,321,Mechanical Wear,0.532,Low,20
EQ-0484,MRI Machine,22.25,48.98,54,Mechanical Wear,0.874,High,58
EQ-0485,CT Scanner,41.85,28.01,90,Mechanical Wear,0.996,High,57
EQ-0486,MRI Machine,34.86,24.84,277,Calibration Issue,0.583,High,68
EQ-0487,Ventilator,40.65,63.68,100,Calibration Issue,0.812,Medium,52
EQ-0488,Blood Testing Device,33.04,49.79,154,Overheating,0.327,Low,37
EQ-0489,CT Scanner,27.39,46.21,348,Mechanical Wear,0.306,High,8
EQ-0490,CT Scanner,44.57,63.77,363,Overheating,0.403,Low,44
EQ-0491,Blood Testing Device,43.98,65.93,140,Power Surge,0.673,Low,5
EQ-0492,CT Scanner,40.84,29.53,172,Power Surge,0.682,Low,69
EQ-0493,CT Scanner,28.16,56.61,9,Mechanical Wear,0.315,High,31
EQ-0494,MRI Machine,37.71,28.12,227,Mechanical Wear,0.133,High,45
EQ-0495,CT Scanner,30.83,65.08,264,Power Surge,0.632,Low,9
EQ-0496,Ventilator,22.75,59.42,247,Mechanical Wear,0.128,Medium,32
EQ-0497,Ventilator,47.52,77.4,246,Calibration Issue,0.578,Low,33
EQ-0498,Blood Testing Device,24.1,24.14,154,Calibration Issue,0.693,Medium,67
EQ-0499,CT Scanner,48.51,23.42,33,Mechanical Wear,0.701,Low,30
EQ-0500,Blood Testing Device,33.38,36.93,128,Power Surge,0.753,Low,29
EQ-0501,Ventilator,25.55,35.7,159,Overheating,0.873,Low,3
EQ-0502,CT Scanner,36.26,34.82,88,Mechanical Wear,0.5,High,57
EQ-0503,CT Scanner,46.19,74.38,92,Mechanical Wear,0.73,Medium,30
EQ-0504,Blood Testing Device,41.97,34.97,326,Overheating,0.619,Medium,9
EQ-0505,Ventilator,44.2,36.32,240,Mechanical Wear,0.187,Low,26
EQ-0506,CT Scanner,39.76,65.56,322,Overheating,0.026,High,2
EQ-0507,Blood Testing Device,40.77,46.98,116,Power Surge,0.285,High,62
EQ-0508,Ventilator,45.48,66.6,93,Calibration Issue,0.443,Medium,3
EQ-0509,Blood Testing Device,27.49,23.92,162,Power Surge,0.617,High,46
EQ-0510,MRI Machine,34.68,49.25,98,Calibration Issue,0.85,Medium,68
EQ-0511,CT Scanner,26.64,22.02,112,Overheating,0.196,Medium,25
EQ-0512,MRI Machine,49.63,23.76,358,Calibration Issue,0.126,Medium,51
EQ-0513,Ventilator,48.32,74.39,90,Power Surge,0.963,High,13
EQ-0514,MRI Machine,21.18,28.35,345,Calibration Issue,0.108,Medium,44
EQ-0515,MRI Machine,41.17,51.95,205,Overheating,0.478,Medium,35
EQ-0516,Ventilator,47.76,44.67,16,Calibration Issue,0.586,Low,55
EQ-0517,Blood Testing Device,25.42,40.84,273,Mechanical Wear,0.541,Medium,9
EQ-0518,MRI Machine,37.04,73.99,172,Power Surge,0.086,Medium,2
EQ-0519,Blood Testing Device,47.46,21.31,115,Mechanical Wear,0.057,Low,61
EQ-0520,MRI Machine,21.02,59.83,348,Overheating,0.105,Low,41
EQ-0521,Blood Testing Device,40.92,77.8,180,Calibration Issue,0.586,High,44
EQ-0522,Ventilator,28.92,53.61,90,Mechanical Wear,0.544,Medium,64
EQ-0523,MRI Machine,47.73,76.21,81,Mechanical Wear,0.234,High,31
EQ-0524,Ventilator,49.13,23.14,323,Calibration Issue,0.638,High,47
EQ-0525,MRI Machine,48.33,45.13,113,Calibration Issue,0.82,Low,2
EQ-0526,Ventilator,34.23,35.61,256,Power Surge,0.042,High,69
EQ-0527,Ventilator,45.86,63.85,57,Mechanical Wear,0.498,Medium,58
EQ-0528,MRI Machine,45.34,78.88,153,Mechanical Wear,0.689,Low,44
EQ-0529,MRI Machine,29.57,35.39,364,Overheating,0.252,Medium,56
EQ-0530,MRI Machine,44.87,59.25,115,Power Surge,0.308,Medium,43
EQ-0531,CT Scanner,21.11,31.89,342,Overheating,0.614,Low,34
EQ-0532,Blood Testing Device,37.89,53.92,265,Mechanical Wear,0.898,Medium,30
EQ-0533,CT Scanner,26.9,47.84,314,Overheating,0.81,Low,71
EQ-0534,CT Scanner,23.62,78.32,202,Mechanical Wear,0.583,Medium,70
EQ-0535,Ventilator,22.31,56.51,40,Mechanical Wear,0.73,Low,55
EQ-0536,MRI Machine,40.89,40.97,104,Overheating,0.365,High,67
EQ-0537,Blood Testing Device,30.2,26.85,192,Overheating,0.641,Medium,13
EQ-0538,Ventilator,41.74,29.07,277,Calibration Issue,0.466,Low,3
EQ-0539,CT Scanner,21.96,33.52,353,Calibration Issue,0.19,Medium,26
EQ-0540,MRI Machine,29.46,35.06,236,Calibration Issue,0.702,Medium,57
EQ-0541,Ventilator,36.18,71.04,220,Mechanical Wear,0.556,Medium,24
EQ-0542,MRI Machine,43.72,53.67,67,Overheating,0.359,Low,53
EQ-0543,Ventilator,29.56,51.4,196,Power Surge,0.911,High,70
EQ-0544,MRI Machine,38.78,26.89,255,Mechanical Wear,0.021,High,43
EQ-0545,CT Scanner,46.58,71.61,138,Power Surge,0.316,High,60
EQ-0546,Blood Testing Device,38.48,63.37,311,Overheating,0.057,Low,58
EQ-0547,CT Scanner,26.99,24.06,148,Mechanical Wear,0.767,High,49
EQ-0548,Blood Testing Device,20.73,62.47,98,Power Surge,0.702,Low,42
EQ-0549,MRI Machine,46.1,52.61,75,Power Surge,0.331,Medium,66
EQ-0550,Ventilator,20.64,24.9,281,Calibration Issue,0.676,Medium,11
EQ-0551,CT Scanner,46.24,47.5,108,Calibration Issue,0.396,High,18
EQ-0552,Blood Testing Device,35.87,49.08,187,Calibration Issue,0.756,Low,52
EQ-0553,CT Scanner,48.17,29.95,198,Mechanical Wear,0.454,Medium,46
EQ-0554,Blood Testing Device,43.96,76.74,302,Overheating,0.412,Low,44
EQ-0555,CT Scanner,49.94,71.0,326,Overheating,0.935,Low,22
EQ-0556,Blood Testing Device,30.52,60.14,153,Calibration Issue,0.251,Medium,53
EQ-0557,Blood Testing Device,43.02,47.74,39,Calibration Issue,0.12,Low,59
EQ-0558,MRI Machine,32.06,44.71,132,Calibration Issue,0.585,Medium,30
EQ-0559,Blood Testing Device,34.4,59.06,131,Power Surge,0.969,Medium,8
EQ-0560,MRI Machine,38.83,52.73,278,Calibration Issue,0.378,Medium,57
EQ-0561,Blood Testing Device,46.21,23.74,361,Power Surge,0.062,Low,20
EQ-0562,Ventilator,49.52,50.75,83,Overheating,0.339,Medium,25
EQ-0563,Ventilator,43.05,68.38,241,Mechanical Wear,0.506,Low,19
EQ-0564,Ventilator,32.53,47.55,115,Mechanical Wear,0.162,Medium,5
EQ-0565,Blood Testing Device,32.64,23.12,108,Mechanical Wear,0.658,Medium,27
EQ-0566,MRI Machine,42.13,67.18,220,Mechanical Wear,0.998,High,40
EQ-0567,MRI Machine,27.16,32.08,40,Power Surge,0.452,High,26
EQ-0568,Blood Testing Device,23.31,35.52,146,Power Surge,0.355,High,27
EQ-0569,Ventilator,30.64,29.88,111,Calibration Issue,0.401,Low,62
EQ-0570,Ventilator,28.62,39.81,102,Power Surge,0.115,Low,50
EQ-0571,MRI Machine,28.89,65.41,45,Calibration Issue,0.883,Medium,42
EQ-0572,Ventilator,27.01,51.16,323,Calibration Issue,0.415,Medium,29
EQ-0573,CT Scanner,21.26,32.29,270,Mechanical Wear,0.387,Medium,39
EQ-0574,MRI Machine,20.54,72.67,194,Power Surge,0.66,Medium,60
EQ-0575,Ventilator,49.63,72.77,279,Power Surge,0.442,Low,41
EQ-0576,MRI Machine,32.83,72.23,282,Calibration Issue,0.648,Medium,33
EQ-0577,CT Scanner,31.53,34.33,39,Calibration Issue,0.061,Medium,16
EQ-0578,MRI Machine,40.39,47.07,188,Overheating,0.814,High,23
EQ-0579,MRI Machine,26.55,79.1,163,Overheating,0.941,Medium,7
EQ-0580,MRI Machine,48.5,66.32,23,Calibration Issue,0.649,Medium,26
EQ-0581,MRI Machine,43.59,21.63,23,Overheating,0.955,Medium,12
EQ-0582,CT Scanner,22.68,23.91,3,Overheating,0.151,Low,5
EQ-0583,Blood Testing Device,32.53,47.84,322,Calibration Issue,0.477,High,69
EQ-0584,MRI Machine,46.37,74.55,289,Calibration Issue,0.602,Medium,49
EQ-0585,MRI Machine,48.34,52.32,180,Power Surge,0.582,Medium,26
EQ-0586,Ventilator,34.02,49.87,247,Calibration Issue,0.401,High,5
EQ-0587,MRI Machine,38.4,26.33,115,Calibration Issue,0.338,Medium,22
EQ-0588,Ventilator,25.01,59.41,278,Mechanical Wear,0.127,Low,13
EQ-0589,Blood Testing Device,49.74,69.33,364,Power Surge,0.392,Medium,28
EQ-0590,CT Scanner,26.95,42.83,68,Power Surge,0.163,Low,33
EQ-0591,CT Scanner,48.28,66.54,350,Power Surge,0.734,Low,23
EQ-0592,Blood Testing Device,39.49,77.87,253,Mechanical Wear,0.209,Medium,18
EQ-0593,CT Scanner,38.23,32.23,180,Calibration Issue,0.059,High,30
EQ-0594,Blood Testing Device,35.38,51.4,317,Power Surge,0.552,Low,26
EQ-0595,Blood Testing Device,26.92,37.23,168,Power Surge,0.595,High,16
EQ-0596,Blood Testing Device,25.3,67.57,312,Overheating,0.872,Medium,39
EQ-0597,CT Scanner,26.61,54.66,248,Power Surge,0.577,Low,33
EQ-0598,Ventilator,25.59,58.07,187,Calibration Issue,0.345,Medium,26
EQ-0599,Blood Testing Device,43.39,67.87,53,Calibration Issue,0.803,High,48
EQ-0600,MRI Machine,30.5,43.76,325,Overheating,0.54,Medium,65
EQ-0601,CT Scanner,21.74,74.91,356,Power Surge,0.079,Medium,38
EQ-0602,Blood Testing Device,49.07,51.98,312,Power Surge,0.566,Low,2
EQ-0603,Blood Testing Device,46.51,29.48,137,Power Surge,0.908,Medium,6
EQ-0604,MRI Machine,47.83,61.75,167,Mechanical Wear,0.396,Medium,46
EQ-0605,Ventilator,49.85,67.6,102,Power Surge,0.296,Medium,50
EQ-0606,Ventilator,25.22,39.01,84,Calibration Issue,0.143,Low,38
EQ-0607,Ventilator,31.89,71.43,316,Calibration Issue,0.151,High,18
EQ-0608,Blood Testing Device,42.75,74.37,211,Mechanical Wear,0.433,High,27
EQ-0609,Blood Testing Device,40.88,36.61,2,Mechanical Wear,0.596,Medium,41
EQ-0610,Blood Testing Device,24.62,79.01,178,Power Surge,0.081,Low,17
EQ-0611,CT Scanner,44.47,28.44,341,Overheating,0.94,Medium,62
EQ-0612,MRI Machine,26.73,32.12,302,Mechanical Wear,0.755,High,29
EQ-0613,Blood Testing Device,26.71,31.05,331,Mechanical Wear,0.587,Low,58
EQ-0614,MRI Machine,36.11,73.64,37,Power Surge,0.828,High,70
EQ-0615,MRI Machine,37.79,59.26,238,Power Surge,0.08,High,22
EQ-0616,Ventilator,37.4,29.13,168,Mechanical Wear,0.477,Low,6
EQ-0617,CT Scanner,22.74,46.42,342,Overheating,0.63,Low,26
EQ-0618,Blood Testing Device,46.32,56.92,313,Mechanical Wear,0.829,Medium,39
EQ-0619,Ventilator,27.97,25.01,305,Power Surge,0.783,Medium,12
EQ-0620,Ventilator,23.89,72.94,29,Power Surge,0.277,High,14
EQ-0621,Blood Testing Device,46.66,68.22,189,Mechanical Wear,0.941,Low,22
EQ-0622,MRI Machine,48.67,50.31,356,Overheating,0.124,Low,51
EQ-0623,Ventilator,45.86,78.03,24,Mechanical Wear,0.875,Medium,23
EQ-0624,MRI Machine,44.29,45.07,111,Mechanical Wear,0.971,High,48
EQ-0625,CT Scanner,39.66,79.05,205,Power Surge,0.177,High,71
EQ-0626,MRI Machine,36.53,60.08,184,Overheating,0.722,Medium,50
EQ-0627,CT Scanner,22.61,58.08,46,Calibration Issue,0.04,Low,13
EQ-0628,MRI Machine,32.25,29.96,227,Overheating,0.405,Medium,10
EQ-0629,Ventilator,31.18,72.92,38,Mechanical Wear,0.516,Medium,55
EQ-0630,Ventilator,27.79,45.65,15,Mechanical Wear,0.581,Medium,9
EQ-0631,CT Scanner,41.7,29.73,21,Mechanical Wear,0.936,Medium,52
EQ-0632,Blood Testing Device,34.88,20.76,212,Overheating,0.672,Low,2
EQ-0633,CT Scanner,22.43,53.59,309,Power Surge,0.481,Medium,25
EQ-0634,CT Scanner,26.61,51.64,148,Mechanical Wear,0.81,Low,13
EQ-0635,MRI Machine,40.5,63.16,240,Mechanical Wear,0.951,Medium,51
EQ-0636,MRI Machine,22.28,73.42,271,Overheating,0.022,High,58
EQ-0637,CT Scanner,45.54,24.76,58,Calibration Issue,0.983,Low,34
EQ-0638,Ventilator,34.85,63.89,286,Calibration Issue,0.086,High,35
EQ-0639,MRI Machine,34.42,31.24,201,Power Surge,0.814,Medium,3
EQ-0640,Blood Testing Device,37.77,71.49,31,Power Surge,0.28,Medium,59
EQ-0641,MRI Machine,44.74,69.14,161,Mechanical Wear,0.132,Medium,70
EQ-0642,MRI Machine,30.43,52.45,254,Overheating,0.44,Low,48
EQ-0643,Blood Testing Device,40.34,62.61,253,Mechanical Wear,0.644,High,64
EQ-0644,CT Scanner,36.97,38.86,8,Power Surge,0.381,Low,19
EQ-0645,Blood Testing Device,28.01,48.27,138,Overheating,0.055,Low,67
EQ-0646,CT Scanner,46.36,69.3,9,Overheating,0.599,Medium,5
EQ-0647,CT Scanner,43.92,47.56,213,Power Surge,0.902,High,67
EQ-0648,CT Scanner,39.75,41.47,272,Calibration Issue,0.383,Medium,11
EQ-0649,Blood Testing Device,45.52,49.65,323,Calibration Issue,0.216,Low,68
EQ-0650,CT Scanner,46.02,69.69,47,Overheating,0.443,Medium,69
EQ-0651,Ventilator,41.25,40.11,110,Mechanical Wear,0.048,High,1
EQ-0652,Blood Testing Device,45.11,30.43,152,Calibration Issue,0.82,Medium,63
EQ-0653,Ventilator,40.92,62.72,122,Mechanical Wear,0.826,High,29
EQ-0654,CT Scanner,40.4,69.56,356,Calibration Issue,0.588,High,12
EQ-0655,MRI Machine,38.56,26.04,101,Calibration Issue,0.353,Medium,41
EQ-0656,CT Scanner,42.58,34.39,240,Mechanical Wear,0.8,Low,2
EQ-0657,Ventilator,24.76,28.52,320,Power Surge,0.555,Medium,37
EQ-0658,Ventilator,46.43,40.88,190,Calibration Issue,0.826,Low,45
EQ-0659,Blood Testing Device,46.16,47.02,216,Calibration Issue,0.631,Low,48
EQ-0660,MRI Machine,20.88,64.93,50,Mechanical Wear,0.784,Medium,24
EQ-0661,Blood Testing Device,44.77,59.07,291,Power Surge,0.599,Low,22
EQ-0662,Ventilator,23.87,57.26,80,Calibration Issue,0.414,Low,11
EQ-0663,CT Scanner,30.05,41.14,87,Calibration Issue,0.958,Medium,58
EQ-0664,MRI Machine,42.31,70.49,193,Power Surge,0.541,Medium,46
EQ-0665,CT Scanner,24.82,48.28,103,Calibration Issue,0.605,Medium,29
EQ-0666,CT Scanner,44.54,78.75,270,Power Surge,0.22,Low,35
EQ-0667,MRI Machine,44.96,58.05,95,Power Surge,0.626,High,15
EQ-0668,Blood Testing Device,35.22,27.58,197,Mechanical Wear,0.572,Low,60
EQ-0669,CT Scanner,20.19,60.57,0,Overheating,0.185,High,42
EQ-0670,Ventilator,28.61,39.51,166,Power Surge,0.06,Medium,43
EQ-0671,CT Scanner,38.51,61.18,125,Mechanical Wear,0.604,High,49
EQ-0672,MRI Machine,49.44,24.18,312,Overheating,0.764,Medium,64
EQ-0673,MRI Machine,38.95,30.49,80,Calibration Issue,0.523,Medium,32
EQ-0674,MRI Machine,27.79,71.34,250,Overheating,0.227,High,64
EQ-0675,Blood Testing Device,39.02,33.63,168,Power Surge,0.667,Medium,2
EQ-0676,CT Scanner,36.2,70.22,72,Power Surge,0.08,High,24
EQ-0677,Blood Testing Device,43.4,36.76,140,Power Surge,0.442,Medium,66
EQ-0678,Blood Testing Device,23.21,58.57,69,Power Surge,0.163,Low,38
EQ-0679,MRI Machine,42.83,61.65,261,Power Surge,0.184,Low,31
EQ-0680,MRI Machine,36.24,50.76,339,Mechanical Wear,0.202,Medium,26
EQ-0681,Blood Testing Device,48.89,38.32,307,Power Surge,0.387,Medium,29
EQ-0682,CT Scanner,30.26,32.76,244,Mechanical Wear,0.051,High,67
EQ-0683,Ventilator,38.98,21.99,2,Calibration Issue,0.398,Low,25
EQ-0684,Blood Testing Device,47.96,38.24,336,Power Surge,0.512,High,48
