equipment_id,equipment_type,temperature_avg,humidity_avg,last_maintenance_days,uptime_hours,sensor_1,sensor_2,vibration,voltage_fluctuation,pressure,equipment_health,failure_probability,failure_reason,maintenance_level,cost_implications,updated_uptime
EQ-6927,MRI Scanner,26.5,73.5,479,2449,0.62,0.3,1.88,0.12,84.9,Critical,0.6,Pressure Leak,High,14734,3516
EQ-8564,MRI Scanner,38.8,66.0,276,4382,0.48,0.82,3.92,0.67,87.7,Critical,0.65,Voltage Surge,High,2056,4802
EQ-3537,CT Scanner,34.0,46.1,535,4170,0.84,0.72,4.54,1.26,94.1,Critical,0.9,Voltage Surge,High,7632,4380
EQ-7519,Blood Analyzer,30.3,57.5,414,4552,0.83,0.58,0.72,1.15,94.5,Moderate,0.55,Overheating,Medium,3412,4849
EQ-3594,MRI Scanner,27.7,75.0,324,1600,0.36,0.1,5.26,0.33,92.1,Critical,0.75,Overheating,High,8606,2750
EQ-5324,CT Scanner,25.9,54.2,291,2487,0.25,0.1,1.02,0.78,100.0,Moderate,0.35,Pressure Leak,Medium,14167,3406
EQ-9700,CT Scanner,32.2,30.3,284,3613,0.13,0.75,4.72,0.81,98.6,Critical,0.7,Component Wear,High,2854,4122
EQ-3696,CT Scanner,39.8,62.4,728,4227,0.49,0.75,3.56,0.18,128.3,Critical,1.0,Component Wear,High,10127,5382
EQ-7870,X-ray Machine,29.1,26.0,696,4915,-0.01,0.36,3.06,0.33,81.2,Moderate,0.35,Voltage Surge,Medium,8390,5540
EQ-6410,MRI Scanner,29.8,30.5,686,3693,0.44,0.3,2.13,0.45,110.8,Moderate,0.35,Sensor Drift,Medium,6602,4177
EQ-4818,X-ray Machine,39.1,37.9,489,2551,0.47,0.18,5.06,1.29,123.4,Critical,1.0,Sensor Drift,High,3867,3580
EQ-2543,Blood Analyzer,27.8,59.5,289,2572,0.71,0.96,1.37,1.22,93.3,Good,0.25,Voltage Surge,Low,9855,3607
EQ-8929,CT Scanner,38.9,72.2,194,2174,0.28,0.77,0.84,0.14,105.8,Critical,0.85,Overheating,High,2888,2572
EQ-3774,Blood Analyzer,22.7,37.2,239,2584,0.17,0.4,4.35,0.26,110.4,Good,0.05,Component Wear,Low,4739,3612
EQ-9305,Blood Analyzer,22.3,40.1,40,2249,0.8,0.43,5.84,0.21,118.2,Good,0.2,Voltage Surge,Low,14369,3366
EQ-2931,X-ray Machine,19.0,46.4,129,4283,0.19,0.35,5.64,0.4,88.7,Good,0.2,Component Wear,Low,13706,5095
EQ-6060,Ventilator,20.2,46.4,413,1583,0.54,0.23,0.44,0.09,106.6,Moderate,0.35,Pressure Leak,Medium,3878,2184
EQ-9523,CT Scanner,18.1,74.7,470,4267,0.97,0.24,5.2,0.37,94.0,Critical,0.75,Voltage Surge,High,7201,5012
EQ-9480,X-ray Machine,34.8,25.4,300,2409,0.85,0.49,0.1,0.8,103.7,Good,0.05,Component Wear,Low,11817,2684
EQ-5887,MRI Scanner,27.4,50.1,4,3198,0.28,0.3,2.11,0.54,128.2,Good,0.15,Overheating,Low,4051,4248
EQ-1244,Ventilator,26.0,66.6,180,353,0.64,0.2,0.3,1.36,113.7,Moderate,0.5,Sensor Drift,Medium,2484,550
EQ-4754,Blood Analyzer,22.3,39.6,711,2627,0.17,0.47,0.94,0.38,108.9,Moderate,0.35,Pressure Leak,Medium,11166,2948
EQ-7235,CT Scanner,22.6,68.4,557,2481,0.4,0.81,1.76,0.61,104.1,Critical,0.6,Component Wear,High,2071,3568
EQ-7311,Ventilator,34.3,40.4,496,2452,0.83,0.17,3.52,1.31,107.9,Critical,0.9,Component Wear,High,8141,3398
EQ-7655,X-ray Machine,20.7,79.1,545,3274,0.92,0.09,3.11,0.14,88.4,Critical,0.6,Overheating,High,7697,3770
EQ-1672,X-ray Machine,29.3,66.3,567,128,0.24,0.73,5.05,0.58,123.7,Critical,0.6,Pressure Leak,High,1108,634
EQ-4837,CT Scanner,33.8,25.2,181,3301,0.68,0.66,5.4,0.48,88.5,Moderate,0.55,Pressure Leak,Medium,3454,3778
EQ-8806,Ventilator,34.5,43.7,567,4100,0.36,0.15,0.26,0.89,103.6,Critical,0.7,Voltage Surge,High,14633,4906
EQ-5401,Ventilator,21.5,26.1,686,1789,0.02,0.67,1.44,1.02,114.9,Moderate,0.55,Component Wear,Medium,5018,2218
EQ-5000,Ventilator,22.5,61.3,184,4009,0.05,0.17,0.98,1.47,100.2,Moderate,0.5,Sensor Drift,Medium,11650,4442
EQ-3106,MRI Scanner,35.7,37.8,88,3877,0.6,0.77,1.83,0.5,87.5,Moderate,0.4,Pressure Leak,Medium,5330,4972
EQ-7458,X-ray Machine,21.4,51.7,550,3633,0.88,0.9,3.81,0.44,109.5,Moderate,0.35,Overheating,Medium,14908,4048
EQ-6190,Ventilator,27.6,65.7,422,1960,0.63,0.82,1.07,0.64,123.9,Critical,0.7,Pressure Leak,High,5264,2363
EQ-9737,Blood Analyzer,18.7,77.1,58,1060,0.15,0.42,2.62,1.04,91.4,Moderate,0.5,Voltage Surge,Medium,1071,1316
EQ-6088,CT Scanner,33.4,22.0,503,640,0.26,0.56,3.75,0.71,84.2,Critical,0.7,Overheating,High,5900,796
EQ-8413,MRI Scanner,38.3,37.8,345,633,0.88,0.92,1.37,0.47,92.2,Critical,0.7,Pressure Leak,High,8316,952
EQ-3637,MRI Scanner,18.8,30.4,225,2590,0.29,0.89,2.39,1.31,83.9,Good,0.25,Component Wear,Low,3943,3263
EQ-5747,Ventilator,33.9,26.4,433,1658,0.55,0.88,4.23,0.37,114.4,Critical,0.7,Sensor Drift,High,6518,1939
EQ-3895,CT Scanner,35.0,73.4,351,4579,-0.08,0.03,2.75,0.82,99.7,Critical,0.95,Voltage Surge,High,4088,5400
EQ-1676,CT Scanner,24.4,25.2,215,293,0.1,-0.04,2.35,0.17,113.2,Good,0.05,Pressure Leak,Low,11993,934
EQ-4000,MRI Scanner,21.1,53.7,255,1688,-0.03,0.99,4.62,1.39,112.9,Good,0.25,Overheating,Low,13546,2209
EQ-4550,Blood Analyzer,35.9,21.7,626,3680,0.7,0.59,1.83,0.92,87.2,Critical,0.7,Pressure Leak,High,10335,4491
EQ-9156,X-ray Machine,21.3,23.2,704,4122,0.53,0.81,2.55,1.31,92.6,Moderate,0.55,Sensor Drift,Medium,7502,5063
EQ-6621,Ventilator,21.3,69.9,407,3714,0.65,0.78,0.78,0.17,89.2,Critical,0.6,Component Wear,High,12676,4848
EQ-2634,Blood Analyzer,37.5,29.1,614,756,0.68,1.0,4.8,0.09,82.6,Critical,0.7,Overheating,High,8708,1137
EQ-2452,Ventilator,23.0,25.8,464,3367,0.1,0.41,2.1,0.92,121.5,Moderate,0.45,Overheating,Medium,3844,4520
EQ-2619,X-ray Machine,24.2,34.5,600,4441,0.13,0.25,5.06,0.15,97.0,Moderate,0.5,Pressure Leak,Medium,2508,5518
EQ-4336,X-ray Machine,37.6,47.8,119,3730,0.99,0.81,3.26,0.51,103.9,Moderate,0.4,Component Wear,Medium,5656,4203
EQ-4162,Ventilator,29.5,67.9,273,2116,0.88,0.71,2.34,0.31,117.9,Critical,0.6,Voltage Surge,High,4320,2929
EQ-9289,MRI Scanner,25.5,34.1,467,4833,0.63,0.23,2.37,1.24,93.7,Moderate,0.55,Pressure Leak,Medium,10549,6028
EQ-5618,Blood Analyzer,35.6,57.3,655,492,0.87,0.75,1.96,0.19,126.1,Critical,0.8,Overheating,High,14545,1572
EQ-6664,Blood Analyzer,38.3,53.6,267,2669,0.84,0.29,4.24,0.91,81.4,Moderate,0.4,Component Wear,Medium,8943,3090
EQ-6093,Ventilator,21.8,24.9,21,4145,0.81,-0.04,4.18,1.45,98.8,Good,0.25,Pressure Leak,Low,7610,4636
EQ-7000,Blood Analyzer,34.7,33.5,688,2243,0.68,0.9,3.7,0.74,88.9,Critical,0.7,Pressure Leak,High,4826,3238
EQ-1147,Ventilator,19.3,65.3,598,3873,0.97,0.76,1.92,0.91,82.6,Critical,0.6,Overheating,High,1401,4850
EQ-3766,CT Scanner,28.1,39.6,290,4364,0.89,0.48,2.95,0.26,110.1,Critical,0.7,Sensor Drift,High,1966,4493
EQ-5575,X-ray Machine,34.3,75.3,24,2534,0.47,0.18,0.42,1.33,101.7,Moderate,0.5,Overheating,Medium,11902,3150
EQ-2553,CT Scanner,22.8,69.4,409,3768,0.91,0.6,3.99,0.79,116.5,Critical,0.6,Pressure Leak,High,3721,4403
EQ-4321,MRI Scanner,29.8,78.6,104,2616,0.73,0.43,3.11,0.54,104.9,Moderate,0.3,Pressure Leak,Medium,14317,3199
EQ-7681,X-ray Machine,37.2,35.6,451,1420,0.53,0.12,1.2,1.14,114.0,Critical,0.9,Voltage Surge,High,9874,2057
EQ-7324,MRI Scanner,21.4,62.4,375,2906,0.47,0.24,0.29,0.57,82.3,Moderate,0.35,Overheating,Medium,7532,3926
EQ-5900,X-ray Machine,30.7,58.1,691,4896,0.94,0.94,4.08,-0.01,105.9,Moderate,0.35,Overheating,Medium,5699,5816
EQ-8464,Ventilator,23.6,62.2,145,1062,1.05,0.12,4.4,0.06,128.5,Moderate,0.4,Pressure Leak,Medium,12326,1701
EQ-7661,X-ray Machine,22.6,43.1,652,3565,0.17,0.78,0.98,1.25,108.6,Moderate,0.55,Voltage Surge,Medium,13786,3765
EQ-6165,MRI Scanner,29.8,79.9,606,590,0.16,0.97,2.48,0.96,119.5,Critical,0.6,Voltage Surge,High,6446,1436
EQ-8742,CT Scanner,24.9,20.2,291,3676,0.03,0.63,0.49,1.18,112.5,Moderate,0.55,Component Wear,Medium,12729,4619
EQ-8976,X-ray Machine,28.6,48.7,250,3904,0.0,0.92,5.68,1.31,86.0,Moderate,0.4,Overheating,Medium,12219,4986
EQ-3778,Blood Analyzer,21.9,61.4,694,4615,0.53,0.65,4.44,0.03,96.5,Moderate,0.35,Overheating,Medium,8440,5189
EQ-2392,X-ray Machine,39.9,61.0,613,1629,0.15,0.22,1.26,0.23,124.5,Critical,0.8,Voltage Surge,High,5377,2605
EQ-9208,Blood Analyzer,36.9,59.4,446,4351,0.55,0.58,0.56,0.23,106.7,Critical,0.7,Voltage Surge,High,14587,5310
EQ-6766,CT Scanner,24.8,74.7,184,1275,0.56,0.01,0.11,0.02,98.7,Moderate,0.3,Component Wear,Medium,10254,1741
EQ-5492,X-ray Machine,25.6,46.8,191,2694,0.95,0.18,5.5,0.08,128.8,Moderate,0.3,Voltage Surge,Medium,2207,3302
EQ-4459,X-ray Machine,38.9,32.7,173,2898,0.31,0.87,2.7,0.54,84.8,Moderate,0.4,Component Wear,Medium,2843,3246
EQ-8887,Ventilator,20.2,43.6,38,2668,0.91,0.05,3.2,1.47,105.1,Good,0.25,Overheating,Low,12344,3248
EQ-6384,Ventilator,36.4,40.3,236,1767,0.35,0.53,5.31,0.16,115.8,Critical,0.85,Voltage Surge,High,7088,2029
EQ-2356,Ventilator,27.7,53.1,3,1915,0.74,0.16,4.76,1.4,122.0,Moderate,0.35,Pressure Leak,Medium,4250,2979
EQ-6782,X-ray Machine,24.7,67.8,686,860,0.88,0.89,4.48,0.3,107.7,Moderate,0.35,Sensor Drift,Medium,10486,1698
EQ-4592,Blood Analyzer,18.6,32.8,234,1616,0.35,0.96,1.05,1.14,100.2,Good,0.25,Pressure Leak,Low,11656,2207
EQ-7029,CT Scanner,26.9,28.4,166,672,0.02,0.25,3.86,1.2,123.3,Moderate,0.35,Pressure Leak,Medium,14608,1149
EQ-2959,MRI Scanner,35.4,53.7,347,924,0.91,0.07,3.2,0.89,118.6,Critical,0.7,Component Wear,High,9867,1455
EQ-7331,CT Scanner,28.7,62.2,430,4522,0.72,0.44,4.97,1.46,85.5,Critical,1.0,Pressure Leak,High,2741,5032
EQ-2796,Blood Analyzer,28.3,70.6,89,2999,0.78,0.36,5.22,0.8,119.1,Moderate,0.45,Sensor Drift,Medium,2947,3402
EQ-3011,Ventilator,29.4,57.8,132,4206,0.27,0.56,0.45,0.35,92.7,Good,0.05,Pressure Leak,Low,6443,4595
EQ-5969,MRI Scanner,39.4,38.3,30,1083,0.5,0.95,0.39,0.19,107.4,Moderate,0.4,Voltage Surge,Medium,14937,2102
EQ-6961,CT Scanner,25.4,60.2,512,621,0.96,0.71,5.91,0.15,111.3,Critical,0.75,Pressure Leak,High,11990,952
EQ-9239,MRI Scanner,19.1,50.7,485,2312,0.37,0.74,1.36,0.21,92.1,Moderate,0.35,Component Wear,Medium,8978,2953
EQ-1023,MRI Scanner,40.0,69.4,702,3821,0.16,0.31,0.69,1.33,94.3,Critical,1.0,Voltage Surge,High,8278,4472
EQ-7437,CT Scanner,25.0,21.1,277,1557,0.42,0.61,0.39,0.72,82.7,Moderate,0.35,Overheating,Medium,14833,2268
EQ-4904,X-ray Machine,19.1,51.2,230,1696,0.04,0.59,5.14,0.88,124.4,Moderate,0.3,Component Wear,Medium,14812,1922
EQ-9001,Ventilator,20.8,48.1,507,4313,0.17,-0.03,5.2,0.38,102.3,Moderate,0.5,Sensor Drift,Medium,12528,5092
EQ-8606,X-ray Machine,19.8,55.8,458,3478,0.18,0.1,3.08,0.9,109.7,Moderate,0.35,Component Wear,Medium,11201,3719
EQ-9477,Ventilator,26.2,39.5,342,3874,0.73,0.92,3.1,0.41,81.4,Moderate,0.35,Sensor Drift,Medium,1383,4987
EQ-1320,CT Scanner,30.1,41.6,11,3568,0.15,0.7,1.18,1.15,113.9,Critical,0.6,Component Wear,High,12083,3722
EQ-8726,X-ray Machine,39.4,51.4,243,4404,0.13,0.11,3.81,0.07,127.6,Moderate,0.5,Component Wear,Medium,1481,5455
EQ-8597,Ventilator,20.3,53.3,602,4048,0.88,0.94,3.46,1.16,93.2,Moderate,0.55,Pressure Leak,Medium,3608,4552
EQ-7011,Blood Analyzer,36.4,24.1,510,2232,1.01,0.23,2.16,1.1,109.3,Critical,0.9,Component Wear,High,8129,2781
EQ-1685,Ventilator,34.2,38.7,465,125,0.21,0.71,3.75,0.85,89.0,Critical,0.7,Sensor Drift,High,1135,469
EQ-5838,MRI Scanner,30.9,72.8,636,2688,0.76,0.83,2.81,0.81,108.4,Critical,0.6,Component Wear,High,9879,3503
EQ-5690,MRI Scanner,30.9,26.4,353,2358,0.57,0.63,3.98,0.41,103.9,Moderate,0.35,Sensor Drift,Medium,12453,3022
EQ-8755,CT Scanner,36.9,33.4,184,4675,0.46,0.33,0.44,0.6,86.0,Moderate,0.4,Voltage Surge,Medium,11344,5270
EQ-1520,Blood Analyzer,23.6,35.0,293,337,0.3,0.17,0.96,0.79,124.3,Good,0.15,Overheating,Low,9046,982
EQ-3974,Ventilator,35.6,47.2,343,3046,1.01,0.41,5.92,0.38,111.3,Critical,0.85,Overheating,High,14634,3199
EQ-8957,CT Scanner,31.8,56.1,565,177,1.07,0.4,2.31,0.21,109.2,Critical,0.95,Component Wear,High,4802,1035
EQ-8290,Ventilator,22.1,41.7,284,1197,0.53,0.75,1.02,0.33,120.1,Moderate,0.45,Pressure Leak,Medium,1730,1376
EQ-2444,X-ray Machine,24.3,58.7,428,740,0.27,0.01,2.72,0.38,120.8,Moderate,0.45,Sensor Drift,Medium,8003,1407
EQ-2933,MRI Scanner,22.2,66.4,417,4461,0.35,0.21,2.55,0.15,103.3,Critical,0.6,Overheating,High,3016,4699
EQ-2226,X-ray Machine,18.9,79.0,672,820,0.87,0.1,1.36,0.07,98.4,Critical,0.6,Overheating,High,14132,961
EQ-6986,X-ray Machine,32.5,77.9,391,4639,0.65,0.83,0.08,1.3,98.0,Critical,0.8,Voltage Surge,High,4047,4897
EQ-9992,CT Scanner,22.3,40.0,540,992,0.42,0.35,3.87,0.64,97.9,Moderate,0.35,Voltage Surge,Medium,9805,1092
EQ-7694,Blood Analyzer,20.0,53.4,322,526,0.13,0.01,5.9,0.59,95.2,Good,0.2,Component Wear,Low,14406,886
EQ-9994,Blood Analyzer,22.3,27.1,105,4735,0.72,0.05,5.2,1.31,115.7,Moderate,0.4,Component Wear,Medium,1643,5162
EQ-5945,X-ray Machine,34.3,68.1,97,3410,0.96,0.45,0.22,0.7,84.4,Good,0.05,Overheating,Low,7882,3711
EQ-7996,MRI Scanner,35.8,79.8,704,3462,0.11,0.24,0.64,0.35,112.5,Critical,0.95,Pressure Leak,High,8664,4580
EQ-8185,Ventilator,20.0,69.1,527,3987,0.44,0.14,1.91,0.33,119.8,Critical,0.6,Voltage Surge,High,8754,4340
EQ-6471,X-ray Machine,34.9,20.9,52,2159,0.1,0.86,1.41,0.03,112.9,Good,0.05,Sensor Drift,Low,13621,3314
EQ-4957,CT Scanner,22.1,51.3,697,1273,0.29,0.36,3.47,0.08,115.6,Moderate,0.35,Sensor Drift,Medium,7415,1935
EQ-9668,Blood Analyzer,30.2,46.0,607,2730,0.92,0.79,1.97,0.44,91.1,Moderate,0.35,Overheating,Medium,14260,3130
EQ-8857,CT Scanner,34.8,52.4,491,2835,0.22,0.67,2.15,1.47,100.4,Critical,0.9,Sensor Drift,High,3697,2987
EQ-9534,Blood Analyzer,19.9,47.2,730,1833,0.76,0.31,5.5,0.22,110.8,Moderate,0.5,Sensor Drift,Medium,12035,2814
EQ-8911,Ventilator,39.2,30.9,558,1586,0.37,0.3,3.04,0.79,111.1,Critical,0.7,Component Wear,High,4498,2631
EQ-5154,MRI Scanner,38.2,46.1,440,373,1.04,0.54,5.98,1.13,87.2,Critical,1.0,Component Wear,High,11349,1495
EQ-7590,Ventilator,20.0,65.4,230,4524,0.31,0.42,2.62,0.11,111.4,Critical,0.6,Overheating,High,8426,5675
EQ-4551,Blood Analyzer,31.1,47.6,702,1602,0.37,0.05,3.64,0.35,122.1,Moderate,0.45,Pressure Leak,Medium,11090,2790
EQ-6560,Ventilator,18.2,45.6,323,3847,0.95,0.1,2.41,1.5,120.3,Critical,0.65,Component Wear,High,6207,4842
EQ-6277,Ventilator,18.0,27.7,705,2187,0.14,0.26,2.67,1.05,80.4,Moderate,0.55,Overheating,Medium,2492,3289
EQ-3139,Blood Analyzer,22.9,33.7,69,783,0.54,0.56,5.38,0.19,100.6,Good,0.2,Component Wear,Low,2099,1462
EQ-4225,X-ray Machine,32.4,65.9,655,198,0.49,0.29,1.23,1.2,87.9,Moderate,0.55,Sensor Drift,Medium,6564,705
EQ-8024,Blood Analyzer,25.4,21.8,477,2985,0.24,0.85,0.55,1.38,99.4,Moderate,0.55,Component Wear,Medium,7735,4010
EQ-3943,CT Scanner,35.7,43.5,237,2163,0.81,0.67,4.27,0.58,105.5,Moderate,0.4,Sensor Drift,Medium,1551,2726
EQ-4978,X-ray Machine,30.3,63.4,607,3606,0.93,0.57,4.85,0.41,123.8,Moderate,0.45,Pressure Leak,Medium,9320,4118
EQ-2718,Blood Analyzer,24.1,76.7,102,2415,0.71,0.32,2.6,0.56,125.0,Moderate,0.4,Pressure Leak,Medium,13240,3140
EQ-4938,CT Scanner,23.7,35.7,67,1702,0.86,0.35,2.79,1.27,84.5,Good,0.25,Sensor Drift,Low,9367,2644
EQ-7636,CT Scanner,18.7,27.6,336,1521,0.93,0.75,5.39,1.1,104.9,Critical,0.7,Pressure Leak,High,6430,2117
EQ-7754,MRI Scanner,27.7,25.2,435,1147,0.7,0.49,0.64,0.59,87.2,Moderate,0.35,Voltage Surge,Medium,4675,2302
EQ-1429,MRI Scanner,30.0,29.4,628,2779,0.63,1.0,0.62,1.35,93.7,Moderate,0.55,Voltage Surge,Medium,4651,3416
EQ-8053,Ventilator,34.1,56.2,664,2536,0.84,0.71,5.94,1.55,109.6,Critical,1.0,Sensor Drift,High,12823,3706
EQ-9648,CT Scanner,36.3,25.8,690,957,0.45,0.62,2.04,0.97,99.9,Critical,0.7,Voltage Surge,High,4574,1750
EQ-7084,MRI Scanner,21.2,77.8,546,448,0.43,0.87,4.63,0.18,82.4,Critical,0.6,Sensor Drift,High,1412,638
EQ-3772,X-ray Machine,21.8,46.1,356,4102,1.03,0.92,3.84,1.34,116.4,Good,0.25,Overheating,Low,2608,4279
EQ-3127,MRI Scanner,20.7,35.6,428,1837,0.3,0.72,4.43,1.33,81.5,Moderate,0.55,Voltage Surge,Medium,1655,2797
EQ-3964,Blood Analyzer,20.9,55.0,371,2113,0.32,0.05,3.98,0.38,86.3,Moderate,0.35,Sensor Drift,Medium,4684,2831
EQ-7193,MRI Scanner,34.5,32.4,82,4980,0.72,0.69,3.29,0.62,80.8,Moderate,0.4,Overheating,Medium,12044,6151
EQ-5409,X-ray Machine,28.0,75.7,10,1756,0.61,0.74,1.51,0.6,96.3,Moderate,0.3,Sensor Drift,Medium,4064,2543
EQ-2283,CT Scanner,27.9,63.1,276,2003,-0.04,0.05,4.05,1.29,117.8,Critical,0.8,Overheating,High,3610,2921
EQ-6831,Ventilator,30.9,46.9,631,3035,0.22,0.75,0.75,0.43,95.1,Critical,0.7,Voltage Surge,High,9617,3213
EQ-4090,MRI Scanner,26.1,78.4,17,1887,0.6,0.69,3.62,0.22,119.0,Moderate,0.3,Pressure Leak,Medium,12340,2861
EQ-9781,MRI Scanner,32.1,47.7,365,3386,0.88,0.6,4.18,1.03,104.2,Critical,0.9,Overheating,High,3183,4168
EQ-1000,Ventilator,30.4,57.7,590,4542,0.6,-0.03,1.33,1.5,105.7,Critical,0.9,Sensor Drift,High,12803,5017
EQ-7195,MRI Scanner,27.9,20.7,487,3710,0.47,0.26,0.96,1.35,84.4,Moderate,0.55,Component Wear,Medium,13311,4162
EQ-9892,CT Scanner,20.7,62.5,625,4903,0.92,0.55,0.42,0.29,105.6,Critical,0.6,Sensor Drift,High,4688,5498
EQ-2431,Blood Analyzer,22.8,53.7,174,2318,0.92,0.81,5.1,0.42,91.1,Good,0.2,Voltage Surge,Low,2837,2914
EQ-2969,CT Scanner,29.9,67.2,562,2934,0.29,0.19,0.21,0.53,115.4,Critical,0.95,Component Wear,High,12038,3434
EQ-3274,X-ray Machine,36.5,69.4,466,1148,0.95,0.19,0.11,0.03,105.1,Critical,0.7,Component Wear,High,10893,1562
EQ-8998,Blood Analyzer,22.3,48.6,22,443,0.14,0.19,0.52,0.17,108.6,Good,0.05,Pressure Leak,Low,8465,1124
EQ-3607,Ventilator,20.5,53.2,581,2883,0.31,0.41,2.07,0.9,103.1,Moderate,0.35,Sensor Drift,Medium,7185,3065
EQ-5667,Blood Analyzer,24.9,62.9,186,2866,0.9,0.83,5.15,1.23,80.6,Moderate,0.4,Pressure Leak,Medium,4201,3452
EQ-6600,Ventilator,19.2,26.8,228,3228,0.82,0.94,5.26,1.26,129.5,Critical,0.8,Pressure Leak,High,6111,3570
EQ-4653,X-ray Machine,36.0,35.6,694,1564,0.78,0.19,1.44,0.45,97.8,Critical,0.7,Voltage Surge,High,11663,1758
EQ-4037,Ventilator,29.3,66.3,528,574,-0.06,0.31,3.74,1.11,95.6,Critical,0.8,Pressure Leak,High,9780,1730
EQ-1318,MRI Scanner,34.7,22.3,574,1922,0.91,0.04,1.56,1.52,107.8,Critical,0.9,Voltage Surge,High,13199,2617
EQ-1047,Blood Analyzer,36.8,62.8,325,2879,0.04,0.19,2.58,0.92,92.7,Moderate,0.4,Voltage Surge,Medium,7529,3716
EQ-5029,MRI Scanner,36.5,61.3,12,2132,0.23,0.84,1.23,0.26,126.5,Moderate,0.5,Pressure Leak,Medium,3159,2583
EQ-4387,CT Scanner,31.5,66.8,655,338,0.19,0.72,3.58,1.06,89.0,Critical,1.0,Overheating,High,5309,574
EQ-7324,Ventilator,34.4,59.2,293,2160,0.08,0.99,3.66,0.3,100.3,Critical,0.7,Overheating,High,2880,3085
EQ-9900,Blood Analyzer,24.6,57.8,205,4686,0.45,0.45,2.19,0.39,108.5,Good,0.05,Component Wear,Low,9165,5880
EQ-4524,CT Scanner,22.4,40.6,552,3228,0.63,0.7,2.79,0.95,110.1,Moderate,0.35,Component Wear,Medium,5080,4083
EQ-9509,X-ray Machine,38.1,41.8,243,2459,0.75,0.32,1.46,0.45,119.3,Moderate,0.4,Pressure Leak,Medium,1436,2636
EQ-9051,X-ray Machine,19.0,22.8,279,4277,0.48,0.93,2.32,1.32,98.0,Good,0.25,Voltage Surge,Low,12085,4386
EQ-5947,Ventilator,29.5,37.7,203,2201,0.94,0.28,2.89,1.44,118.9,Moderate,0.55,Pressure Leak,Medium,7075,2794
EQ-6494,MRI Scanner,19.2,58.7,642,3151,0.77,-0.05,5.36,0.34,124.1,Critical,0.6,Component Wear,High,10412,4030
EQ-3274,Blood Analyzer,33.3,22.9,25,3665,0.67,0.68,1.58,0.93,112.9,Good,0.05,Overheating,Low,6096,4168
EQ-2350,Blood Analyzer,18.9,46.0,474,4403,0.21,0.29,5.93,0.11,87.1,Moderate,0.5,Pressure Leak,Medium,2656,4519
EQ-5594,CT Scanner,24.3,68.8,331,2139,0.03,0.65,3.08,0.41,120.7,Critical,0.7,Pressure Leak,High,14585,2827
EQ-2133,Blood Analyzer,32.4,48.8,655,3404,0.44,0.98,2.07,1.1,90.1,Moderate,0.55,Overheating,Medium,1859,3950
EQ-5855,Ventilator,22.5,43.8,380,4521,0.33,0.61,0.69,0.78,91.8,Moderate,0.35,Sensor Drift,Medium,12657,4888
EQ-6716,Ventilator,22.0,71.5,415,1742,0.79,0.21,2.17,0.27,97.3,Critical,0.6,Component Wear,High,9716,2216
EQ-3579,Blood Analyzer,29.2,57.2,13,4607,0.71,0.68,2.29,0.47,117.8,Good,0.05,Pressure Leak,Low,1769,5541
EQ-2094,MRI Scanner,32.2,67.7,273,672,0.48,0.81,5.57,1.19,81.8,Critical,1.0,Pressure Leak,High,10213,1028
EQ-3952,CT Scanner,18.1,32.2,295,2677,0.11,0.24,3.07,1.27,126.9,Critical,0.65,Voltage Surge,High,7778,3482
EQ-7790,X-ray Machine,32.4,25.7,152,1208,0.24,0.45,2.84,0.03,92.3,Good,0.05,Overheating,Low,3937,1815
EQ-4319,Ventilator,28.9,25.8,95,2562,0.32,0.33,2.03,0.2,115.3,Good,0.05,Component Wear,Low,1115,3329
EQ-5515,X-ray Machine,18.9,55.0,725,359,0.11,0.01,0.42,1.08,80.3,Moderate,0.55,Overheating,Medium,5385,1456
EQ-6384,CT Scanner,20.9,54.9,406,3659,0.3,0.44,4.9,0.29,123.2,Moderate,0.45,Sensor Drift,Medium,14254,4358
EQ-7231,Ventilator,35.4,52.4,534,4656,0.97,0.24,3.16,0.69,117.8,Critical,0.7,Component Wear,High,10174,4950
EQ-5037,X-ray Machine,29.1,54.7,455,269,0.39,0.68,4.43,0.95,112.5,Moderate,0.35,Pressure Leak,Medium,13117,938
EQ-2014,MRI Scanner,21.6,53.1,722,1579,0.51,0.19,0.31,1.23,88.3,Moderate,0.55,Component Wear,Medium,6613,1679
EQ-2069,CT Scanner,30.9,20.2,569,2633,0.9,0.5,4.88,0.96,100.0,Critical,0.7,Voltage Surge,High,14910,3252
EQ-6864,Ventilator,36.7,61.6,90,426,0.16,0.71,2.11,0.04,110.6,Critical,0.65,Pressure Leak,High,12184,1500
EQ-2666,Blood Analyzer,39.5,74.4,567,4141,0.12,0.87,2.75,0.31,91.9,Critical,1.0,Voltage Surge,High,14263,5012
EQ-2441,MRI Scanner,30.5,56.0,436,276,0.81,0.06,0.93,1.07,89.9,Moderate,0.55,Sensor Drift,Medium,6383,457
EQ-5906,MRI Scanner,37.3,48.0,491,3359,0.61,0.71,1.67,0.21,117.2,Critical,0.7,Sensor Drift,High,11462,4422
EQ-3049,CT Scanner,25.3,64.7,209,1133,0.51,0.41,3.81,1.17,92.2,Moderate,0.5,Pressure Leak,Medium,11427,2251
EQ-3670,Blood Analyzer,36.1,71.2,142,1654,0.91,0.6,2.65,0.48,99.7,Critical,0.85,Overheating,High,2546,2136
